"","date","text","month"
"78","2020-03-29","કોરોના વાયરસ જીવલેણ છે અને માનવજાતનો દુશ્મન છે: PM મોદી

#MannKiBaat #PMModi #NarendraModi @narendramodi #Lockdown21 #CoronavirusOutbreak https://t.co/6HGWRalzXW","March"
"79","2020-03-29","Coronavirus in pictures: Life on balconies as the world locks down https://t.co/xxvq1PtOhv #coronavirus https://t.co/VqKBRWE8SK","March"
"80","2020-03-29","Coronavirus  La Peste e il prosciutto sugli occhi -  #Coronavirus #Peste #prosciutto #sugli  https://t.co/sqYJMCjCvP","March"
"81","2020-03-29","❗️ถ้าอยากให้คนอยู่บ้านกันแบบจริงจัง ❗️
ตอนนี้คนทำงานกับคนญี่ปุ่นยังต้องทำงานกันงกๆๆ ทั้งนี่ ทั้งลูกค้า ทั้งซัพฯทั้งหมดเป็นองค์กรญี่ปุ่นยังไม่เห็นวี่แววการ wfh ซึ่งนายเช็คข่าวตลอดนะคะ เพราะเค้าเชื่อใจ รบ.(1/4)

#โควิด19
#Covid19
#พรกฉุกเฉิน
#หยุดเชื้อเพื่อชาติ
#ฝ่าวิกฤตโควิด19","March"
"82","2020-03-29","Waarom allerlei Corona regelingen decentraal met loket/bank, etc ... gewoon centraal via de Belastingdienst uit laten keren ... bedrijven en ZZPers, incl. iban zijn bekend ... verantwoording doen we later in 2020 ... we zijn in oorlog met #Coronavirus !

#Covid19NL #buitenhof","March"
"83","2020-03-29","Depuis l'âge de 17 ans, je suis militaire et on m'a appris une évidence: ""l'intendance précède toujours les combattants"". Les civils qui nous dirigent semblent ne pas pouvoir comprendre ce mode de fonctionnement. Le pouvoir est dans des mains, dangereusement inaptes. #Covid_19","March"
"84","2020-03-29","#COVID19 Good boy Rex. https://t.co/GKWZYoLcqB","March"
"85","2020-03-29","#AtenciónLectores
🩺| Te damos estos consejos para prevenir contagios del #Covid_19 , dale click🤳 #NoticiasVeracruz  https://t.co/pP3qJTe63D","March"
"86","2020-03-29","Why you should not panic! And remember, there is a newspaper in the mail every week. And then.... the shower is not far from the toilet. Lol #COVID19 #TPisComing https://t.co/aBg8dezxCT","March"
"87","2020-03-29","#coronavirus #CoronavirusChile #CuarentenaCoronavirus https://t.co/Gx5JQG8rTO","March"
"88","2020-03-29","更新：東京 新たに68人の新型コロナ感染を確認 都内で計430人 #Coronavirus https://t.co/4uDsJHfUzU
😱😱😱😱😱","March"
"89","2020-03-29","Del 27 al 28 de marzo, aumentó de 717 a 848 (131 nuevos casos de #Coronavirus) a nivel nacional, en #Oaxaca la cifra asciende a 12 casos, todos concentrados en Valles Centrales.

En la #Costa Oaxaqueña se han realizado 14 pruebas, todas resultando negativas.

#COVID19MX #Pochutla https://t.co/byKid3sdTW","March"
"90","2020-03-29","Good read. Good to start thinking about what our new normal will be post #COVID19 https://t.co/nuWum7UVcx","March"
"91","2020-03-29","#Tedros Adhanom Ghebreyesus (Director – General of the #WorldHealthOrganization – #WHO) – Through his eyes : Types of #Coronavirus, attempts for #treatment. Preparation for the merger of two worlds. Detailed Clairvoyant/Psychic… https://t.co/V61zSWh69a https://t.co/6qgbooC1mk","March"
"92","2020-03-29","Wondering if the entire world after lockdown is over, will turn into #Kashmir. i.e, no more clubbing/partying, no more movies in theatres. Imp. will people be required to carry #Covid19 test results to move around/enter public places - equivalent to our curfew passes? #NewNormal","March"
"93","2020-03-29","🖋 Support Sirajah by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too: https://t.co/oznS17Am8r

📨 Last delivered to @GovernorTomWolf, Representative Fiedler and Senator Farnese  #PApol #COVID19 https://t.co/MTjHioQ8DQ","March"
"94","2020-03-29","Shahid Afridi ""This country has given me everything, so it is my duty that I help my people in their time of need and crisis"" #COVID19 https://t.co/IdcFqfT2nu","March"
"95","2020-03-29","@clipperteas we returned safely to U.K. not yet understanding what it was facing with #Coronavirus - so our post Assam follow up has been rather distracted - more to follow in due course - all being well :-)","March"
"96","2020-03-29","کورونا وائرس سےڈرنا نہیں بلکہ لڑنا ہے
ہم سے ہے پاکستان
 عالم دین مفتی عبدل قوی  کا خصوصی پیغام
#HumSeHaiPakistan
#COVID19
#PakistanFightsCorona
 
#MuftiAbdulQavi https://t.co/JCX1zB0auJ","March"
